datetime,count,newuser,crudetot,userFoCount,previousCount
"Tue, 24 Apr 2012 14:59:55 +0000",2433,edwsonoma,2433,2433,0
"Tue, 24 Apr 2012 20:41:34 +0000",2533,LAKconf,2544,111,2433
"Tue, 24 Apr 2012 20:50:18 +0000",3539,_valeriei,3617,1073,2533
"Wed, 25 Apr 2012 08:52:30 +0000",3674,wgreller,3769,152,3539
"Wed, 25 Apr 2012 09:41:05 +0000",4111,R3beccaF,4255,486,3674
"Wed, 25 Apr 2012 09:41:06 +0000",4504,sbskmi,4808,553,4111
"Wed, 25 Apr 2012 09:46:08 +0000",4576,SoLAResearch,4957,149,4504
"Wed, 25 Apr 2012 11:30:30 +0000",5106,sheilmcn,5628,671,4576
"Wed, 25 Apr 2012 14:30:02 +0000",5171,shaned07,5768,140,5106
"Wed, 25 Apr 2012 16:33:18 +0000",5268,IETatOU,5940,172,5171
"Wed, 25 Apr 2012 17:08:01 +0000",5583,HRGore,6308,368,5268
"Wed, 25 Apr 2012 17:52:36 +0000",5688,JamesThornburgh,6440,132,5583
"Wed, 25 Apr 2012 23:15:20 +0000",5741,SocialHabitat,6495,55,5688
"Thu, 26 Apr 2012 15:03:35 +0000",5884,EdEvidence,6665,170,5741
"Thu, 26 Apr 2012 16:36:03 +0000",14232,gsiemens,16507,9842,5884
"Thu, 26 Apr 2012 16:38:47 +0000",15256,CosmoCat,18145,1638,14232
"Thu, 26 Apr 2012 16:40:16 +0000",15664,goodmananat,18687,542,15256
"Thu, 26 Apr 2012 17:52:20 +0000",15731,lbuus,18787,100,15664
"Thu, 26 Apr 2012 19:17:48 +0000",18314,barrywellman,21652,2865,15731
"Thu, 26 Apr 2012 20:27:40 +0000",18384,moengel,21732,80,18314
"Thu, 26 Apr 2012 20:27:58 +0000",18883,mattdance,22296,564,18384
"Fri, 27 Apr 2012 00:04:14 +0000",19983,clairebrooks,23859,1563,18883
"Fri, 27 Apr 2012 00:35:48 +0000",20074,s_palm,24040,181,19983
"Fri, 27 Apr 2012 02:26:21 +0000",20154,nancysafar,24160,120,20074
"Fri, 27 Apr 2012 03:24:40 +0000",20197,veronicarp,24214,54,20154
"Fri, 27 Apr 2012 09:32:11 +0000",20354,abelardopardo,24444,230,20197
"Fri, 27 Apr 2012 09:37:58 +0000",22354,gconole,28706,4262,20354
"Fri, 27 Apr 2012 13:58:06 +0000",22830,mdpistilli,29244,538,22354
"Fri, 27 Apr 2012 17:10:33 +0000",22912,allisonl,29566,322,22830
"Fri, 27 Apr 2012 20:35:20 +0000",24382,jscarantino,31174,1608,22912
"Sat, 28 Apr 2012 01:50:25 +0000",24470,SocialGardens,31321,147,24382
"Sat, 28 Apr 2012 02:08:17 +0000",25643,cyprien,32921,1600,24470
"Sat, 28 Apr 2012 08:49:23 +0000",25859,dleony,33199,278,25643
"Sat, 28 Apr 2012 14:48:47 +0000",27127,malpaso,34796,1597,25859
